,Short RDate FY,Utility Type,Bname,Fiscal Year,bldg sqft,MTCO2,kg CO2 / sq ft
,FY 16,Natural Gas,MICHIGAN STADIUM COMPLEX,2016,570265,9.0688,0.016
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,2.8752565,0.034
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,5.7513305,0.067
,FY 16,Natural Gas,FISHER RAY BASEBALL STADIUM,2016,30167,3.73325,0.124
,FY 15,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2015,22837,22.31775,0.977
,FY 15,Natural Gas,BAHNA WRESTLING  CENTER,2015,22072,7.739,0.351
,FY 15,Natural Gas,FISHER RAY BASEBALL STADIUM,2015,30167,29.5172,0.978
,FY 15,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2015,45356,51.557,1.137
,FY 15,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2015,78278,115.0613265,1.470
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,33.3322,0.390
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,66.6743735,0.780
,FY 15,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,23.53855,0.265
,FY 15,Natural Gas,MICHIGAN STADIUM COMPLEX,2015,570265,230.13715,0.404
,FY 15,Natural Gas,FIELD HOCKEY COMPLEX,2015,14683,10.3005,0.702
,FY 15,Natural Gas,CRISLER ARENA,2015,264041,3.2809,0.012
,FY 15,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2015,17382,7.13405,0.410
,FY 15,Natural Gas,WEISFELD FAMILY GOLF CENTER,2015,11307,3.02475,0.268
,FY 12,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2012,78402,96.0856255,1.226
,FY 12,Natural Gas,WEISFELD FAMILY GOLF CENTER,2012,11307,2.34895,0.208
,FY 12,Natural Gas,BAHNA WRESTLING  CENTER,2012,22072,8.6001,0.390
,FY 12,Natural Gas,MICHIGAN STADIUM COMPLEX,2012,153630,135.39435,0.881
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,27.835112,0.361
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,55.6785625,0.721
,FY 12,Natural Gas,FISHER RAY BASEBALL STADIUM,2012,30167,23.60395,0.782
,FY 12,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2012,17382,10.0389,0.578
,FY 12,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2012,22837,12.75845,0.559
,FY 12,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2012,88863,13.15085,0.148
,FY 12,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2012,45356,25.72945,0.567
,FY 09,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2009,88863,9.0579,0.102
,FY 09,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2009,22837,5.24835,0.230
,FY 09,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2009,45356,22.30685,0.492
,FY 09,Natural Gas,FISHER RAY BASEBALL STADIUM,2009,11556,13.29255,1.150
,FY 09,Natural Gas,MICHIGAN STADIUM COMPLEX,2009,153630,3.46075,0.023
,FY 09,Natural Gas,MICHIGAN STADIUM COMPLEX,2009,153630,21.05335,0.137
,FY 09,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2009,76247,0.058315,0.001
,FY 09,Natural Gas,SCHEMBECHLER GLENN E HALL,2009,69711,0.016895,0.000
,FY 09,Natural Gas,SCHEMBECHLER GLENN E HALL,2009,69711,0.03379,0.000
,FY 18,Natural Gas,MICHIGAN STADIUM COMPLEX,2018,570377,4.39815,0.008
,FY 18,Natural Gas,WEISFELD FAMILY GOLF CENTER,2018,11307,0.00545,0.000
,FY 18,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,2.632895,0.034
,FY 18,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,0.3488,0.004
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,0.7627275,0.009
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,1.5257275,0.018
,FY 18,Natural Gas,FISHER RAY BASEBALL STADIUM,2018,30167,0.2398,0.008
,FY 18,Natural Gas,CRISLER ARENA,2018,264041,0.2725,0.001
,FY 18,Natural Gas,FIELD HOCKEY COMPLEX,2018,14683,0.69215,0.047
,FY 18,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,0.221815,0.013
,FY 18,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,7.178195,0.158
,FY 18,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2018,22837,0.20165,0.009
,FY 18,Natural Gas,BAHNA WRESTLING  CENTER,2018,22072,0.620755,0.028
,FY 06,Natural Gas,MICHIGAN STADIUM COMPLEX,2006,153636,52.5598,0.342
,FY 06,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2006,22837,4.2074,0.184
,FY 06,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2006,14149,7.1831,0.508
,FY 06,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2006,88863,11.4123,0.128
,FY 06,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2006,0,16.18105,#DIV/0!
,FY 06,Natural Gas,SCHEMBECHLER GLENN E HALL,2006,69698,9.829402,0.141
,FY 06,Natural Gas,SCHEMBECHLER GLENN E HALL,2006,69698,19.6616925,0.282
,FY 06,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2006,76247,33.9305555,0.445
,FY 06,Natural Gas,FISHER RAY BASEBALL STADIUM,2006,11556,13.3089,1.152
,FY 11,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2011,22837,5.3301,0.233
,FY 11,Natural Gas,MICHIGAN STADIUM COMPLEX,2011,153630,29.69705,0.193
,FY 11,Natural Gas,FISHER RAY BASEBALL STADIUM,2011,30167,8.73635,0.290
,FY 11,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2011,45356,15.01475,0.331
,FY 11,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2011,78402,20.698882,0.264
,FY 11,Natural Gas,SCHEMBECHLER GLENN E HALL,2011,77187,5.996308,0.078
,FY 11,Natural Gas,SCHEMBECHLER GLENN E HALL,2011,77187,11.99436,0.155
,FY 11,Natural Gas,BAHNA WRESTLING  CENTER,2011,22072,5.1557,0.234
,FY 11,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2011,88863,5.23745,0.059
,FY 11,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2011,17368,5.92415,0.341
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,1.3784685,0.015
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,2.7574275,0.030
,FY 19,Natural Gas,WEISFELD FAMILY GOLF CENTER,2019,11307,0.0109,0.001
,FY 19,Natural Gas,BAHNA WRESTLING  CENTER,2019,22072,1.15322,0.052
,FY 19,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2019,89026,1.1663,0.013
,FY 19,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2019,17382,0.426735,0.025
,FY 19,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2019,45356,13.69585,0.302
,FY 19,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2019,22837,0.6104,0.027
,FY 19,Natural Gas,MICHIGAN STADIUM COMPLEX,2019,570377,14.09915,0.025
,FY 19,Natural Gas,FISHER RAY BASEBALL STADIUM,2019,30275,0.1853,0.006
,FY 19,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,4.758504,0.053
,FY 19,Natural Gas,FIELD HOCKEY COMPLEX,2019,14683,1.3734,0.094
,FY 19,Natural Gas,CRISLER ARENA,2019,264016,1.33525,0.005
,FY 06,Natural Gas,MICHIGAN STADIUM COMPLEX,2006,153636,17.68525,0.115
,FY 06,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2006,22837,2.19635,0.096
,FY 06,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2006,14149,2.507,0.177
,FY 06,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2006,88863,3.94035,0.044
,FY 06,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2006,0,12.3279,#DIV/0!
,FY 06,Natural Gas,SCHEMBECHLER GLENN E HALL,2006,69698,2.419146,0.035
,FY 06,Natural Gas,SCHEMBECHLER GLENN E HALL,2006,69698,4.838946,0.069
,FY 06,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2006,76247,8.350708,0.110
,FY 06,Natural Gas,FISHER RAY BASEBALL STADIUM,2006,11556,8.1205,0.703
,FY 11,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2011,22837,2.47975,0.109
,FY 11,Natural Gas,MICHIGAN STADIUM COMPLEX,2011,153630,3.488,0.023
,FY 11,Natural Gas,FISHER RAY BASEBALL STADIUM,2011,30167,3.48255,0.115
,FY 11,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2011,45356,14.1264,0.311
,FY 11,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2011,78402,5.478667,0.070
,FY 11,Natural Gas,SCHEMBECHLER GLENN E HALL,2011,77187,1.587149,0.021
,FY 11,Natural Gas,SCHEMBECHLER GLENN E HALL,2011,77187,3.174734,0.041
,FY 11,Natural Gas,BAHNA WRESTLING  CENTER,2011,22072,4.28915,0.194
,FY 11,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2011,88863,0.6758,0.008
,FY 11,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2011,17368,1.5151,0.087
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,9.282876,0.102
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,18.5685315,0.204
,FY 19,Natural Gas,WEISFELD FAMILY GOLF CENTER,2019,11307,0.2725,0.024
,FY 19,Natural Gas,BAHNA WRESTLING  CENTER,2019,22072,3.326135,0.151
,FY 19,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2019,89026,3.4771,0.039
,FY 19,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2019,17382,2.85471,0.164
,FY 19,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2019,45356,21.879025,0.482
,FY 19,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2019,22837,3.32995,0.146
,FY 19,Natural Gas,MICHIGAN STADIUM COMPLEX,2019,570377,54.84335,0.096
,FY 19,Natural Gas,FISHER RAY BASEBALL STADIUM,2019,30275,4.79055,0.158
,FY 19,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,32.0440925,0.360
,FY 19,Natural Gas,FIELD HOCKEY COMPLEX,2019,14683,4.51805,0.308
,FY 19,Natural Gas,CRISLER ARENA,2019,264016,2.17455,0.008
,FY 18,Natural Gas,MICHIGAN STADIUM COMPLEX,2018,570377,174.7161,0.306
,FY 18,Natural Gas,WEISFELD FAMILY GOLF CENTER,2018,11307,2.91575,0.258
,FY 18,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,96.8437205,1.237
,FY 18,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,16.69335,0.188
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,28.054747,0.328
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,56.1178325,0.656
,FY 18,Natural Gas,FISHER RAY BASEBALL STADIUM,2018,30167,18.8679,0.625
,FY 18,Natural Gas,CRISLER ARENA,2018,264041,3.30815,0.013
,FY 18,Natural Gas,FIELD HOCKEY COMPLEX,2018,14683,10.48035,0.714
,FY 18,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,6.01462,0.346
,FY 18,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,34.0516,0.751
,FY 18,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2018,22837,11.40685,0.499
,FY 18,Natural Gas,BAHNA WRESTLING  CENTER,2018,22072,4.373625,0.198
,FY 21,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2021,45356,19.207435,0.423
,FY 21,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2021,22837,1.85845,0.081
,FY 21,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2021,89001,0.58315,0.007
,FY 21,Natural Gas,FISHER RAY BASEBALL STADIUM,2021,30275,2.50155,0.083
,FY 21,Natural Gas,BAHNA WRESTLING  CENTER,2021,22072,2.59965,0.118
,FY 21,Natural Gas,SCHEMBECHLER GLENN E HALL,2021,90891,0.16895,0.002
,FY 21,Natural Gas,SCHEMBECHLER GLENN E HALL,2021,90891,0.3379,0.004
,FY 21,Natural Gas,CRISLER ARENA,2021,265276,0.4251,0.002
,FY 21,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2021,89026,2.9648,0.033
,FY 21,Natural Gas,FIELD HOCKEY COMPLEX,2021,14683,2.0601,0.140
,FY 21,Natural Gas,WEISFELD FAMILY GOLF CENTER,2021,11307,0.545,0.048
,FY 21,Natural Gas,MICHIGAN STADIUM COMPLEX,2021,570378,23.0208,0.040
,FY 21,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2021,17382,1.385935,0.080
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,1.751848,0.023
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,3.5041865,0.045
,FY 13,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2013,88863,2.12005,0.024
,FY 13,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2013,17382,0,0.000
,FY 13,Natural Gas,WEISFELD FAMILY GOLF CENTER,2013,11307,0.0109,0.001
,FY 13,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2013,22837,0.7521,0.033
,FY 13,Natural Gas,BAHNA WRESTLING  CENTER,2013,22072,4.01665,0.182
,FY 13,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2013,45356,11.2488,0.248
,FY 13,Natural Gas,FISHER RAY BASEBALL STADIUM,2013,30167,5.34645,0.177
,FY 13,Natural Gas,CRISLER ARENA,2013,201311,1.1336,0.006
,FY 13,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2013,78402,6.0472655,0.077
,FY 13,Natural Gas,MICHIGAN STADIUM COMPLEX,2013,153630,19.729,0.128
,FY 16,Natural Gas,FIELD HOCKEY COMPLEX,2016,14683,2.49065,0.170
,FY 16,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2016,45356,17.67435,0.390
,FY 16,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2016,17382,1.69495,0.098
,FY 16,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2016,22837,4.40905,0.193
,FY 16,Natural Gas,CRISLER ARENA,2016,264041,1.744,0.007
,FY 16,Natural Gas,WEISFELD FAMILY GOLF CENTER,2016,11307,0.0981,0.009
,FY 16,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2016,78278,24.6584705,0.315
,FY 16,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2016,89026,1.1009,0.012
,FY 16,Natural Gas,BAHNA WRESTLING  CENTER,2016,22072,1.8094,0.082
,FY 16,Natural Gas,MICHIGAN STADIUM COMPLEX,2016,570265,35.7302,0.063
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,7.1433695,0.084
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,14.28881,0.167
,FY 16,Natural Gas,FISHER RAY BASEBALL STADIUM,2016,30167,8.45295,0.280
,FY 15,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2015,22837,15.40715,0.675
,FY 15,Natural Gas,BAHNA WRESTLING  CENTER,2015,22072,5.1121,0.232
,FY 15,Natural Gas,FISHER RAY BASEBALL STADIUM,2015,30167,24.2634,0.804
,FY 15,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2015,45356,27.6315,0.609
,FY 15,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2015,78278,102.4536235,1.309
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,59.368594,0.694
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,29.6798825,0.347
,FY 15,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,13.1454,0.148
,FY 15,Natural Gas,MICHIGAN STADIUM COMPLEX,2015,570265,194.09085,0.340
,FY 15,Natural Gas,FIELD HOCKEY COMPLEX,2015,14683,7.90795,0.539
,FY 15,Natural Gas,CRISLER ARENA,2015,264041,3.3463,0.013
,FY 15,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2015,17382,4.6543,0.268
,FY 15,Natural Gas,WEISFELD FAMILY GOLF CENTER,2015,11307,2.03285,0.180
,FY 22,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2022,89026,0.7412,0.008
,FY 22,Natural Gas,WEISFELD FAMILY GOLF CENTER,2022,11307,0.00545,0.000
,FY 22,Natural Gas,FIELD HOCKEY COMPLEX,2022,14683,0.94285,0.064
,FY 22,Natural Gas,SCHEMBECHLER GLENN E HALL,2022,90891,10.8480615,0.119
,FY 22,Natural Gas,SCHEMBECHLER GLENN E HALL,2022,90891,21.6993385,0.239
,FY 22,Natural Gas,FISHER RAY BASEBALL STADIUM,2022,30275,0.2507,0.008
,FY 22,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2022,17382,0.3161,0.018
,FY 22,Natural Gas,MICHIGAN STADIUM COMPLEX,2022,570378,9.56475,0.017
,FY 22,Natural Gas,CRISLER ARENA,2022,265276,0.4142,0.002
,FY 22,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2022,45356,12.05104,0.266
,FY 22,Natural Gas,BAHNA WRESTLING  CENTER,2022,22072,1.075285,0.049
,FY 22,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2022,89001,37.44695,0.421
,FY 22,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2022,22837,0.3488,0.015
,FY 12,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2012,78402,37.7939515,0.482
,FY 12,Natural Gas,WEISFELD FAMILY GOLF CENTER,2012,11307,0.5777,0.051
,FY 12,Natural Gas,BAHNA WRESTLING  CENTER,2012,22072,4.8069,0.218
,FY 12,Natural Gas,MICHIGAN STADIUM COMPLEX,2012,153630,50.08005,0.326
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,21.900389,0.284
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,10.9485595,0.142
,FY 12,Natural Gas,FISHER RAY BASEBALL STADIUM,2012,30167,12.92195,0.428
,FY 12,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2012,17382,3.46075,0.199
,FY 12,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2012,22837,4.22375,0.185
,FY 12,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2012,88863,5.559,0.063
,FY 12,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2012,45356,16.9713,0.374
,FY 17,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2017,17382,5.4282,0.312
,FY 17,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2017,22837,15.12375,0.662
,FY 17,Natural Gas,FISHER RAY BASEBALL STADIUM,2017,30167,15.4126,0.511
,FY 17,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2017,78278,92.429275,1.181
,FY 17,Natural Gas,BAHNA WRESTLING  CENTER,2017,22072,7.7826,0.353
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,26.7759045,0.313
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,53.5598205,0.626
,FY 17,Natural Gas,CRISLER ARENA,2017,264041,3.89675,0.015
,FY 17,Natural Gas,WEISFELD FAMILY GOLF CENTER,2017,11307,2.74135,0.242
,FY 17,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2017,89026,16.14835,0.181
,FY 17,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2017,45356,28.70515,0.633
,FY 17,Natural Gas,MICHIGAN STADIUM COMPLEX,2017,570265,144.8174,0.254
,FY 17,Natural Gas,FIELD HOCKEY COMPLEX,2017,14683,7.7608,0.529
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,20.4594635,0.225
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,40.92514,0.450
,FY 19,Natural Gas,WEISFELD FAMILY GOLF CENTER,2019,11307,1.3516,0.120
,FY 19,Natural Gas,BAHNA WRESTLING  CENTER,2019,22072,4.761665,0.216
,FY 19,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2019,89026,5.91325,0.066
,FY 19,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2019,17382,6.4855,0.373
,FY 19,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2019,45356,31.06391,0.685
,FY 19,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2019,22837,6.80705,0.298
,FY 19,Natural Gas,MICHIGAN STADIUM COMPLEX,2019,570377,131.97175,0.231
,FY 19,Natural Gas,FISHER RAY BASEBALL STADIUM,2019,30275,12.8293,0.424
,FY 19,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,70.6252965,0.794
,FY 19,Natural Gas,FIELD HOCKEY COMPLEX,2019,14683,9.61925,0.655
,FY 19,Natural Gas,CRISLER ARENA,2019,264016,3.17735,0.012
,FY 12,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2012,78402,3.3035175,0.042
,FY 12,Natural Gas,BAHNA WRESTLING  CENTER,2012,22072,4.49625,0.204
,FY 12,Natural Gas,MICHIGAN STADIUM COMPLEX,2012,153630,5.56445,0.036
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,0.95702,0.012
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,1.9143125,0.025
,FY 12,Natural Gas,FISHER RAY BASEBALL STADIUM,2012,30167,2.90485,0.096
,FY 12,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2012,17382,0.49595,0.029
,FY 12,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2012,22837,1.17175,0.051
,FY 12,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2012,88863,0.50685,0.006
,FY 12,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2012,45356,11.7393,0.259
,FY 07,Natural Gas,FISHER RAY BASEBALL STADIUM,2007,11556,4.1747,0.361
,FY 07,Natural Gas,MICHIGAN STADIUM COMPLEX,2007,153630,2.71955,0.018
,FY 07,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,0.1962,0.014
,FY 07,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,9.7228,0.214
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,1.071034,0.015
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,2.142395,0.031
,FY 07,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2007,76247,3.697171,0.048
,FY 07,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,0.53955,0.006
,FY 07,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2007,22837,0.1853,0.008
,FY 07,Natural Gas,FISHER RAY BASEBALL STADIUM,2007,11556,3.2918,0.285
,FY 07,Natural Gas,MICHIGAN STADIUM COMPLEX,2007,153630,2.56695,0.017
,FY 07,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,0.1744,0.012
,FY 07,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,6.24025,0.138
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,1.1377965,0.016
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,2.2758655,0.033
,FY 07,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2007,76247,3.927488,0.052
,FY 07,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,0.58315,0.007
,FY 07,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2007,22837,0.21255,0.009
,FY 12,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2012,78402,5.5544765,0.071
,FY 12,Natural Gas,BAHNA WRESTLING  CENTER,2012,22072,4.09295,0.185
,FY 12,Natural Gas,MICHIGAN STADIUM COMPLEX,2012,153630,7.1613,0.047
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,1.6091125,0.021
,FY 12,Natural Gas,SCHEMBECHLER GLENN E HALL,2012,77187,3.218661,0.042
,FY 12,Natural Gas,FISHER RAY BASEBALL STADIUM,2012,30167,3.60245,0.119
,FY 12,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2012,17382,0.35425,0.020
,FY 12,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2012,22837,0.9047,0.040
,FY 12,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2012,88863,0.45235,0.005
,FY 12,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2012,45356,13.55415,0.299
,FY 18,Natural Gas,MICHIGAN STADIUM COMPLEX,2018,570377,79.4065,0.139
,FY 18,Natural Gas,WEISFELD FAMILY GOLF CENTER,2018,11307,1.5478,0.137
,FY 18,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,57.860143,0.739
,FY 18,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,7.0414,0.079
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,33.5281275,0.392
,FY 18,Natural Gas,SCHEMBECHLER GLENN E HALL,2018,85526,16.7615295,0.196
,FY 18,Natural Gas,FISHER RAY BASEBALL STADIUM,2018,30167,11.04715,0.366
,FY 18,Natural Gas,CRISLER ARENA,2018,264041,2.4198,0.009
,FY 18,Natural Gas,FIELD HOCKEY COMPLEX,2018,14683,5.35735,0.365
,FY 18,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,4.39597,0.253
,FY 18,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,24.70594,0.545
,FY 18,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2018,22837,7.6518,0.335
,FY 18,Natural Gas,BAHNA WRESTLING  CENTER,2018,22072,3.852605,0.175
,FY 08,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2008,76247,9.995191,0.131
,FY 08,Natural Gas,SCHEMBECHLER GLENN E HALL,2008,69698,2.8955305,0.042
,FY 08,Natural Gas,SCHEMBECHLER GLENN E HALL,2008,69698,5.7918785,0.083
,FY 08,Natural Gas,FISHER RAY BASEBALL STADIUM,2008,11556,21.6474,1.873
,FY 08,Natural Gas,MICHIGAN STADIUM COMPLEX,2008,153630,29.64255,0.193
,FY 08,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2008,22837,12.9165,0.566
,FY 08,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2008,45356,36.68395,0.809
,FY 08,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2008,88863,16.7315,0.188
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,22.6251845,0.293
